product_name,is_found,timestamp,product_url,status,notes,price
Size 6.5Y W8 - Nike Air Max 90 OG 2015 Infrared,True,2025-08-05 18:33:01,https://www.ebay.com/itm/256729123430?_skw=Nike+Air+Max+90+OG+Infrared&itmmeta=01K1YG5DDDCX63DMGVRNQW0F38&hash=item3bc63f8a66:g:mogAAOSwaTRnRaL-&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1evFT7CMEJur4RWwMzyj8DSi1VVj4%2FDl3RGCYPmO1xzfaHsMXbx4nyEs9NWoE3UH0KPeZiqIIc2qRXpHnj5AxtwhaGanETXzRpB3jxhsCBWOGWYElaqMpkV%2FXd76LQXiTeTfp6P4jiC0rwetPGaORuI%2BIKu5vzmlECFf78su3PqW0axsVVlu%2FAA742fIgF3jyr4ifHM2N9HtmxlYB6dg61LiOr607K0j51GCLnadwjv%2FzH3XkvB6VkAK8Ra3s1%2BxZwyV5mPS9nkg7tv9drk5gzuDrNrPSUGW1odUXtUL2G4bA%3D%3D%7Ctkp%3ABk9SR4bXldCPZg,ok,Product found. Price: $25.00,$25.00
“BOX ONLY” Yeezy Boost 350 V2 SZ 14 No Shoes Just Box as shown CP9654,True,2025-08-05 18:33:01,https://www.ebay.com/itm/205644369758?_skw=Adidas+Yeezy+Boost+350+V2+Zebra&epid=18039801614&itmmeta=01K1YG5S2WVNMKEHRHKDVWDEXE&hash=item2fe15c0f5e:g:Lf8AAeSw8Etoitme&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1cHDfDL7bjIqrSVsmVFQsy5o%2Fj1yyg1lOjtya17G0Rzd8nAJ0LyQSX%2FoSNZikotq52TRL1eT7JA7zfgmje7mbKBs%2FHpnJDWPrsUdXddk9iD5FFPrG%2FHpNdsSKuDQqHazLRbnnUuxY7VWcJ97shoVtXCrvEhCV3DjBYXtCL2xfIr6BTs4LQf9Ddi1fK%2FtBZFVlOkDoHWZ8TpKEOBnD2L7dUpdC0HO0VZcAbfEnSROFk4JUv8ORI6bk0PO6%2FgzSG80jhNw3Mj4aY96im%2BpFMWK7NntiugsIwPiBXNLILI4rcggcj90SCj8nqmFl1lOx40q5I%3D%7Ctkp%3ABk9SR9aRl9CPZg,ok,Product found. Price: $14.99,$14.99
Size 4.5 - Jordan 1 Retro OG High Patent Bred,True,2025-08-05 18:33:01,https://www.ebay.com/itm/116384157029?_skw=Jordan+1+Retro+High+OG+Bred&epid=19048604140&itmmeta=01K1YG645QWHKRC9RFWNGFFCFX&hash=item1b19094d65:g:9FoAAOSw09xnLVNR&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1fY1cT1zn%2BnWB5FZzvtpdxFOyA%2Fbi8pfFgS7SWJpbP3%2BfxIxPCq1e0o1l2G%2BjT4pV%2F9bB0%2FFq3WLJRbW78z5exRGipDhmJurVKKgnSR%2FruB4q3CAGwf%2BhGlnTNLDNTrcZl5Izv99kNQnNRIxAwegNS7XetogLiHivkabjNY63Ox1W%2FbA2BpLNLOAyAPxH4yFUN6daedriubZTVVQcanoWnsREXQhVI3gGIMnDWkgiguiC1X6k%2FmUZKH25AHXWhXYuBmQO4viJM7aqqXCLTeWluc2xqB3Sda0er2ryizplQwee2E%2FgO3GYNJa3f7IgHsdFQ%3D%7Ctkp%3ABk9SR4zDmNCPZg,ok,Product found. Price: $14.99,$14.99
SHOE BOX ONLY Air Jordan 1 Retro High OG GS Royal 2017 575441 007 Sz 5.5y  Blue,True,2025-08-05 18:33:01,https://www.ebay.com/itm/226676638007?_skw=Jordan+1+Retro+High+OG+Royal&itmmeta=01K1YG6PFAMPT9TVS7ZFAA4W64&hash=item34c6fb0137:g:4WUAAeSwUqJn6-l~&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c5pjBFqkPSA5ItSdxhqf8yJq54BZXgkurN8BEjOrbmYi1WrIZVorFffVnTFu5gnQnoZVdsJQwFxnNub%2BWpbL0OmSHhPsAo1IbsTS6XNpA9dDh%2BkxW0tmlG76FqVT01Aa21y5RgaOm15yneJQ%2BOS5OibKJzqwXx5MTDG6OclYQje9KfGfQspoeTfrmnbVKPnip6y6KdEaNa6S4U8PsulT0ciMKgewQjuFLhA%2FIkZmuFKG0PwMy5hBEEiPqPjwDDphVQXaBPVIY0l7j%2BEueRcQQe%7Ctkp%3ABk9SR4DomtCPZg,ok,Product found. Price: $21.84,$21.84
Nike Dunk Low Retro White Black Panda Shoes 1Y,True,2025-08-05 18:33:01,https://www.ebay.com/itm/236190103795?_skw=Nike+Dunk+Low+Panda&epid=14059766830&itmmeta=01K1YG71762X86Y4AABBFN2QW3&hash=item36fe06f8f3:g:6GAAAOSwpzlncoKy&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fR3IbyiARa2I4ImZ%2BqNkk7en1KCGgFefL3BwYU9djwOHzpmh%2F2bpN8HFtJKQbXzJbg%2Bz1EJYiC8BgL6h%2BhlipTZXYrAGRFHL%2FifrImvS8Bldy2PAVvM%2FHJlH8aXBzlZOj9h6pHG1FeraChntDZS8UTm1O4Rxjmivoe9jY8imnby1h3C3LrNn17ySICde%2BhRJxIa44JEfpMzM7sdiQwvy78s2MAa3GbWCn2tI1wqXC9EM4TcT1a%2FvAmPXcGJxESBbOefSx0MvL3GucCozmiOb4B6n3GRoBKUIJMxFKRqYjKJg%3D%3D%7Ctkp%3ABk9SR9qTnNCPZg,ok,Product found. Price: $17.99,$17.99
Size 6.5Y W8 - Nike Air Max 90 OG 2015 Infrared,True,2025-08-05 19:10:52,https://www.ebay.com/itm/256729123430?_skw=Nike+Air+Max+90+OG+Infrared&itmmeta=01K1YJAPDB6GP8ZKKVT5CQT4Z3&hash=item3bc63f8a66:g:mogAAOSwaTRnRaL-&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1evFT7CMEJur4RWwMzyj8DSi1VVj4%2FDl3RGCYPmO1xzfaHsMXbx4nyEs9NWoE3UH0KPeZiqIIc2qRXpHnj5AxtwhaGanETXzRpB3jxhsCBWOGWYElaqMpkV%2FXd76LQXiTcNxoHiHZTxMhsnu4Syo%2F3wmUW9GJDhL1NfveHMOHMMoFmN1BR4KB5VoLrRWaTLli6psYaC75zk9XvVUVhtz8elhilCgRjW3k7okptycIWnG3NIpA%2BNEbo9rFsJsVGUCEWEgGCiTZBfXUfPEtWQM6mhMUtbUcXVfwx2z9uH1qo29A%3D%3D%7Ctkp%3ABk9SR_TmqtKPZg,ok,Product found. Price: $25.00,$25.00
“BOX ONLY” Yeezy Boost 350 V2 SZ 14 No Shoes Just Box as shown CP9654,True,2025-08-05 19:10:52,https://www.ebay.com/itm/205644369758?_skw=Adidas+Yeezy+Boost+350+V2+Zebra&epid=18039801614&itmmeta=01K1YJB6XCWZEYFDZQAWEG8107&hash=item2fe15c0f5e:g:Lf8AAeSw8Etoitme&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1cHDfDL7bjIqrSVsmVFQsy5o%2Fj1yyg1lOjtya17G0Rzd8nAJ0LyQSX%2FoSNZikotq52TRL1eT7JA7zfgmje7mbKBs%2FHpnJDWPrsUdXddk9iD5FFPrG%2FHpNdsSKuDQqHazLSqrWifl73Wq1EITnxV3WamTY%2BzBFVG1XW4dQrG87Sm0BwNsKRPkYhA9AJqAf28L2s2LlRQtE7YjPpRXKUFMZNo80USp2cPiPC4W83TCFrdrY70mAHfoSvwNxzxvYXsWhsUmnavSk%2FyzRjgx95Cx7kD1nX8EkWLX4wEMKKsgadI2TaBa7OBF1GjmsyARrMNml0%3D%7Ctkp%3ABk9SR_rurNKPZg,ok,Product found. Price: $14.99,$14.99
Jordan 1 Retro High OG Bred,False,2025-08-05 19:10:52,,ok,"Error: Message: invalid session id: session deleted as the browser has closed the connection
from disconnected: not connected to DevTools
  (Session info: chrome=139.0.7258.67); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	GetHandleVerifier [0x0xfafd23+62915]
	GetHandleVerifier [0x0xfafd64+62980]
	(No symbol) [0x0xde3e13]
	(No symbol) [0x0xdd3760]
	(No symbol) [0x0xdf15d2]
	(No symbol) [0x0xe57cac]
	(No symbol) [0x0xe71fc9]
	(No symbol) [0x0xe511d6]
	(No symbol) [0x0xe20833]
	(No symbol) [0x0xe216a4]
	GetHandleVerifier [0x0x1218d13+2590131]
	GetHandleVerifier [0x0x1213f5a+2570234]
	GetHandleVerifier [0x0xfd59da+217722]
	GetHandleVerifier [0x0xfc6048+153832]
	GetHandleVerifier [0x0xfcc4ad+179533]
	GetHandleVerifier [0x0xfb7728+94152]
	GetHandleVerifier [0x0xfb78b2+94546]
	GetHandleVerifier [0x0xfa2bca+9322]
	BaseThreadInitThunk [0x0x76745d49+25]
	RtlInitializeExceptionChain [0x0x76f6d2fb+107]
	RtlGetAppContainerNamedObjectPath [0x0x76f6d281+561]
",
Jordan 1 Retro High OG Royal,False,2025-08-05 19:10:52,,ok,"Error: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	GetHandleVerifier [0x0xfafd23+62915]
	GetHandleVerifier [0x0xfafd64+62980]
	(No symbol) [0x0xde3c70]
	(No symbol) [0x0xe1faf8]
	(No symbol) [0x0xe51296]
	(No symbol) [0x0xe4ce75]
	(No symbol) [0x0xe4c3f6]
	(No symbol) [0x0xdb5755]
	(No symbol) [0x0xdb5cae]
	(No symbol) [0x0xdb613d]
	GetHandleVerifier [0x0x1218d13+2590131]
	GetHandleVerifier [0x0x1213f5a+2570234]
	GetHandleVerifier [0x0xfd59da+217722]
	GetHandleVerifier [0x0xfc6048+153832]
	GetHandleVerifier [0x0xfcc4ad+179533]
	(No symbol) [0x0xdb5420]
	(No symbol) [0x0xdb4c36]
	GetHandleVerifier [0x0x135508c+3885356]
	BaseThreadInitThunk [0x0x76745d49+25]
	RtlInitializeExceptionChain [0x0x76f6d2fb+107]
	RtlGetAppContainerNamedObjectPath [0x0x76f6d281+561]
",
Nike Dunk Low Panda,False,2025-08-05 19:10:52,,ok,"Error: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	GetHandleVerifier [0x0xfafd23+62915]
	GetHandleVerifier [0x0xfafd64+62980]
	(No symbol) [0x0xde3c70]
	(No symbol) [0x0xe1faf8]
	(No symbol) [0x0xe51296]
	(No symbol) [0x0xe4ce75]
	(No symbol) [0x0xe4c3f6]
	(No symbol) [0x0xdb5755]
	(No symbol) [0x0xdb5cae]
	(No symbol) [0x0xdb613d]
	GetHandleVerifier [0x0x1218d13+2590131]
	GetHandleVerifier [0x0x1213f5a+2570234]
	GetHandleVerifier [0x0xfd59da+217722]
	GetHandleVerifier [0x0xfc6048+153832]
	GetHandleVerifier [0x0xfcc4ad+179533]
	(No symbol) [0x0xdb5420]
	(No symbol) [0x0xdb4c36]
	GetHandleVerifier [0x0x135508c+3885356]
	BaseThreadInitThunk [0x0x76745d49+25]
	RtlInitializeExceptionChain [0x0x76f6d2fb+107]
	RtlGetAppContainerNamedObjectPath [0x0x76f6d281+561]
",
